feature,importance_mean,importance_std
elo_diff,0.0050399345644634,0.004369731991988761
int_goals_diff,0.0019658439209362887,0.001488359381365702
home_avg_int_goals,0.001837090922670609,0.002239336340837056
age_diff,0.0013777938107271514,0.002336988453590917
abs_elo_diff,0.0013581482182032755,0.004324832896426344
away_avg_int_goals,0.0005374224428777829,0.0019956753753909286
away_DEF_players,0.00050633237686179,0.0014797889230168428
caps_diff,0.00045244895959256626,0.0034103277272192274
away_MID_players,0.00040749164606946887,0.0010055280656295674
home_avg_caps,0.0001966943489593309,0.003375274194735886
home_points_last5,7.728606750390666e-05,0.001031434624681731
home_GK_players,-3.4162321546132855e-05,0.0003611960037844659
away_players_found,-4.098802765064025e-05,0.0009059371332993142
away_ga_last5,-0.0003612746215266305,0.001011045173330955
home_win_rate_last5,-0.0004705486459101016,0.0006699508867388671
home_elo,-0.0004763893130357522,0.003503896476306577
home_MID_players,-0.0005230758434567496,0.0005510821313162044
high_balance_match,-0.0006108140367518001,0.0007556766657529908
height_diff,-0.0006545734118741708,0.002004025188894793
abs_ATT_value_diff,-0.0007952570661897528,0.0016776004926929082
home_profile_players_found,-0.0008025031015019279,0.0010004931359783706
away_ATT_players,-0.0009259064759067181,0.0005130042791089335
age_balanced,-0.0009424065448532859,0.000630338905511143
abs_int_goals_diff,-0.0009909266634961667,0.0013956196310942204
away_profile_players_found,-0.0010209647370097163,0.0011010900998207043
home_players_found,-0.0010479309587586583,0.0012996807861429516
away_avg_caps,-0.0010795696371948328,0.0021973258017189746
abs_DEF_value_diff,-0.001095854926364842,0.0020959329122748915
home_ATT_players,-0.0011165098447124156,0.0011707268729861176
home_GK_market_value_sum,-0.0011203152048873733,0.0017497443535000878
away_points_last5,-0.0012068421951005825,0.0011645655646079084
away_elo,-0.0012211296595536826,0.0026209666803474465
away_DEF_market_value_sum,-0.0012250893522346429,0.0014287891848597386
home_ATT_market_value_mean,-0.0012584813436640196,0.0013199505466764368
abs_MID_value_diff,-0.0012723018220814509,0.0012424665105652162
market_balanced,-0.0012848737703982204,0.0010417859260192063
abs_caps_diff,-0.0012930211168739048,0.0020284251060554677
win_rate_diff,-0.0014026146838982344,0.0017675997685579134
caps_balanced,-0.0014078535739385945,0.000851894659003261
away_avg_age,-0.0014160508059899934,0.0017928780951358254
away_win_rate_last5,-0.0015253897758212454,0.0008511935866260235
balance_score,-0.0015460700184445231,0.0011064724897563054
away_ATT_market_value_sum,-0.0015686278780151885,0.001498048348177797
away_team_market_value,-0.0016010508449612881,0.0023217171306874423
away_MID_market_value_mean,-0.001639590665381735,0.0025234500032322643
home_GK_market_value_mean,-0.0016838689148130025,0.001376507088490711
away_GK_players,-0.0016986856860875532,0.0007058043116690707
away_avg_player_value,-0.0017290159591354438,0.001963440006003264
home_gd_last5,-0.0017306881195440383,0.0012997205549626896
away_GK_market_value_sum,-0.0017650389770213382,0.0015003822646479023
home_MID_market_value_sum,-0.00176755590163441,0.001795030593372691
away_gf_last5,-0.0018652948446279515,0.001550012367038023
away_MID_market_value_sum,-0.0018731270453449743,0.0011966317302519354
away_GK_market_value_mean,-0.002021428677025916,0.0009378720010780973
home_avg_height,-0.002032770584844912,0.0018672121060677302
home_DEF_players,-0.002070275919126274,0.0006408211028813578
elo_balanced,-0.002088648931579273,0.0008143024749567483
points_diff,-0.0022574164357745787,0.0004740750105959096
home_avg_age,-0.0022660753653381107,0.0019080867335755237
gd_diff,-0.002286467439635331,0.001285896936374403
home_ATT_market_value_sum,-0.0023118872209780426,0.0017223736950639078
away_team_market_value_mean,-0.0023257121380851563,0.0019998447317958043
home_MID_market_value_mean,-0.002394762572389841,0.0020341196970692157
away_avg_height,-0.0024126341102719715,0.00241057871782409
home_ga_last5,-0.0024403780286498034,0.0019118196822463572
abs_age_diff,-0.0025496697818606583,0.0014405143543159266
abs_GK_value_diff,-0.002589937842322687,0.001164929248537701
GK_value_diff,-0.0026004401850955984,0.0015423676553537173
market_value_diff,-0.0026991265923467676,0.0026637880987482807
away_DEF_market_value_mean,-0.002808223210662214,0.0021013799253013048
away_gd_last5,-0.0028339964870555735,0.0008571261911335373
home_DEF_market_value_mean,-0.0029472353167805778,0.002710930306819909
abs_market_value_diff,-0.0030115632955153905,0.0021375278550412264
DEF_value_diff,-0.003171298801336364,0.0032095116610060858
home_team_market_value_mean,-0.0034331735256041994,0.003172493095257708
abs_points_diff,-0.0034456760613635453,0.0009963525152649167
home_team_market_value,-0.003925623081216389,0.003298755812702319
home_DEF_market_value_sum,-0.003979706919099868,0.0019273598152647078
home_avg_player_value,-0.003987813551890168,0.0025016941645660705
MID_value_diff,-0.003990251667708866,0.0024384625200111775
away_ATT_market_value_mean,-0.0043232907301752,0.0017454959750506317
match_idx,-0.004531787817546262,0.0006864588248331377
home_gf_last5,-0.004589392353814903,0.0009747018135566644
ATT_value_diff,-0.004766585155824799,0.0020986869896297456
abs_gd_diff,-0.0052359354799764056,0.001416334723144373
