feature,importance
elo_diff,0.08255701975407323
market_value_diff,0.05729936101994441
caps_diff,0.03617837740677795
DEF_value_diff,0.031100024626052863
home_avg_player_value,0.03021073527697678
away_avg_player_value,0.030163220799493438
abs_elo_diff,0.030147954476860164
MID_value_diff,0.025969101390633118
away_team_market_value,0.02453210689134816
int_goals_diff,0.02427275249828831
home_team_market_value,0.023917635095467103
ATT_value_diff,0.021527218150036404
home_avg_caps,0.021221523800334312
away_avg_caps,0.020219624599581345
abs_market_value_diff,0.019441364851476354
away_DEF_market_value_sum,0.0183940125665819
home_avg_int_goals,0.016995092850447233
age_diff,0.016734350104568547
abs_caps_diff,0.016345570127361517
home_avg_age,0.01626251786923991
abs_age_diff,0.015793131382863704
home_DEF_market_value_sum,0.015784517461768763
home_MID_market_value_sum,0.015762487977577625
abs_MID_value_diff,0.0153849526213788
GK_value_diff,0.01513912398369784
away_MID_market_value_sum,0.014985579515052106
away_avg_age,0.014939808822865708
away_avg_height,0.014894367572683795
home_ATT_market_value_sum,0.014710475997431204
home_avg_height,0.014545012086043477
away_ATT_market_value_sum,0.014506718969601626
height_diff,0.014310777016814337
abs_DEF_value_diff,0.014148956345981772
away_avg_int_goals,0.013784962795057738
abs_int_goals_diff,0.013765489971417553
abs_ATT_value_diff,0.013282019949518635
abs_GK_value_diff,0.012204929798805598
home_GK_market_value_sum,0.010738871160290726
gd_diff,0.009188103212380085
away_GK_market_value_sum,0.008814456007826581
home_gd_last5,0.008529339947394542
away_gd_last5,0.00828727676341801
away_gf_last5,0.007990488768717456
home_gf_last5,0.007969418577520907
points_diff,0.00782428159959204
abs_gd_diff,0.00764387363432285
home_ga_last5,0.007579396709834047
away_ga_last5,0.006986734310165072
home_points_last5,0.0069612733885807765
away_points_last5,0.006813797086521251
abs_points_diff,0.006433196963340109
home_players_found,0.006348352685551058
home_profile_players_found,0.006170663716112424
away_profile_players_found,0.005553537778647305
away_players_found,0.005487708782814995
balance_score,0.004960459571728979
win_rate_diff,0.004415972666033935
home_DEF_players,0.0044014448355938155
away_DEF_players,0.004190838518593561
home_win_rate_last5,0.004094198559466594
away_win_rate_last5,0.0038822308050619745
home_MID_players,0.003808476598683324
away_MID_players,0.0035058239764388147
home_ATT_players,0.0031615620141977824
elo_balanced,0.0031290977294279863
away_ATT_players,0.002925466004327234
market_balanced,0.0027748489025409585
away_GK_players,0.0020238150115493144
home_GK_players,0.0019155227669899705
age_balanced,0.0014555718141818635
high_balance_match,0.0013428787199955717
caps_balanced,0.0012581439880547816
