team,player_id,player,position,age,market_value
Santa Clara,1219125,Sorriso,Left Winger,15/04/2006 (20),-
Sassuolo,932763,Alessandro Di Bitonto,Centre-Back,08/10/2005 (20),€300k
Sassuolo,1019116,Giorgio Vezzosi,Centre-Back,14/01/2007 (19),€250k
Sassuolo,984373,Tommaso Macchioni,Centre-Back,04/04/2006 (20),€150k
Sassuolo,724068,Kevin Leone,Central Midfield,28/03/2005 (21),€600k
Sassuolo,919669,Simone Cinquegrano,Right Midfield,25/06/2004 (22),€500k
Sassuolo,1028399,Borna Knezovic,Attacking Midfield,29/07/2005 (20),€600k
Sassuolo,813961,Patrick Nuamah,Left Winger,31/12/2005 (20),€1.60m
Sassuolo,908788,Flavio Russo,Centre-Forward,31/08/2004 (21),€700k
Sparta R.,1024693,Younes Jaber el Meftahi,Attacking Midfield,11/10/2007 (18),-
Sporting CP,1135611,Jesse Derry,Left Winger,30/06/2007 (19),€2.00m
Stade Brestois,1228465,Noé Poillion,Goalkeeper,22/07/2007 (18),-
Stade Rennes,1169721,Kilian Belazzoug,Goalkeeper,18/07/2006 (19),-
Stade Rennes,1119839,Jonathan Do Marcolino,Centre-Back,10/05/2006 (20),€300k
Standard Lieja,1048452,Laurens Goemaere,Defensive Midfield,07/04/2006 (20),€600k
Stuttgart,1030528,Tim van der Leij,Centre-Forward,06/03/2006 (20),€400k
Sunderland,475946,Anthony Patterson,Goalkeeper,10/05/2000 (26),€8.00m
Sunderland,277697,Alan Browne,Central Midfield,15/04/1995 (31),€2.00m
Telstar,944694,Abdelnour Soualhia,Centre-Back,27/06/2001 (25),€300k
Telstar,1227404,Noach Shenkman,Defensive Midfield,02/10/2006 (19),-
Torino,1056746,Wisdom Acquah,Defensive Midfield,07/02/2007 (19),€400k
Toulouse,1270796,Christ Tapé,Left-Back,02/03/2006 (20),€800k
Toulouse,1177290,Ismaïl Diallo,Right-Back,23/08/2003 (22),€900k
Trabzonspor,658401,Veysel Sönmezsoy,Attacking Midfield,05/05/2003 (23),-
Trabzonspor,1067782,Zekeriya Bulut,Left Winger,24/10/2005 (20),-
Trabzonspor,1290539,Thierry Karadeniz,Left Winger,22/06/2008 (18),-
Troyes,170549,Hillel Konaté,Goalkeeper,28/12/1994 (31),€400k
Troyes,1179195,Sankhoun Diawara,Centre-Back,13/01/2006 (20),€2.00m
Troyes,281611,Adrien Monfray,Centre-Back,20/12/1990 (35),€200k
Troyes,900037,Tom Akpakoun,Centre-Back,22/04/2005 (21),-
Troyes,1119845,Anis Ouzenadji,Left-Back,04/11/2006 (19),€500k
Troyes,986299,Yvann Titi,Right-Back,05/05/2006 (20),€2.50m
Troyes,536473,Lucas Maronnier,Right-Back,09/03/2000 (26),€800k
Troyes,1174523,Roman Murcy,Defensive Midfield,23/02/2006 (20),€50k
Troyes,933147,Mouhamed Diop,Central Midfield,30/09/2000 (25),€4.00m
Troyes,807653,Antoine Mille,Central Midfield,14/08/1997 (28),€2.50m
Troyes,1372119,Elijah Odede,Left Winger,12/01/2007 (19),€600k
Troyes,976861,Merwan Ifnaoui,Right Winger,22/10/1998 (27),€2.50m
Troyes,1179193,Amadou Diakité,Right Winger,31/05/2005 (21),€50k
Troyes,1146422,Ibrahim Traoré,Centre-Forward,12/03/2006 (20),€50k
Union SG,1035533,Nohim Chibani,Centre-Back,06/10/2003 (22),€400k
Union SG,1310356,Ilan Hurtevent,Right Winger,25/05/2005 (21),€500k
Unión Berlín,1131153,Tim Blaszczak,Defensive Midfield,25/08/2007 (18),-
Unión Berlín,1033581,Julien Friedrich,Left Winger,12/11/2006 (19),€125k
Unión Berlín,1162925,Mekhi Gray,Centre-Forward,19/02/2007 (19),-
Venezia,494805,Alessio Pozzi,Goalkeeper,14/12/2000 (25),€400k
Venezia,1371198,Ale Gomes,Centre-Back,14/02/2008 (18),€500k
Venezia,441611,Michael Venturi,Centre-Back,23/01/1999 (27),€350k
Venezia,731510,Giovanni Di Renzo,Centre-Back,15/06/2002 (24),€100k
Venezia,744621,Matteo Dagasso,Central Midfield,01/04/2004 (22),€3.50m
Venezia,1370789,Edoardo Mariani,Central Midfield,15/01/2008 (18),€500k
Venezia,1130743,Lorenzo Berardi,Left Midfield,05/04/2006 (20),€400k
Venezia,816861,Alvin Okoro,Centre-Forward,26/03/2005 (21),€2.00m
Venezia,537767,Antonio Casas,Centre-Forward,30/03/2000 (26),€650k
Venezia,1372355,Mohamed Malang Touré,Striker,31/12/2006 (19),-
Werder Bremen,1032924,Mats Heitmann,Centre-Back,11/02/2006 (20),€125k
Werder Bremen,1078750,Luca Höcker,Right-Back,01/06/2007 (19),€125k
Werder Bremen,826795,Dariusz Stalmach,Defensive Midfield,08/12/2005 (20),€1.50m
Werder Bremen,1071244,Darwin Soylu,Attacking Midfield,23/03/2007 (19),-
Werder Bremen,1080555,Paul Erevbenagie,Right Winger,19/08/2007 (18),€125k
Willem II,1054634,Anass Zarrouk,Defensive Midfield,18/07/2006 (19),€250k
Willem II,1101894,Armin Culum,Left Winger,05/11/2003 (22),€400k
Willem II,1042888,Lasse Abildgaard,Right Winger,27/02/2007 (19),€125k
Willem II,704771,Devin Haen,Centre-Forward,18/06/2004 (22),€1.50m
Willem II,1141074,Siegert Baartmans,Centre-Forward,06/04/2006 (20),€200k
Willem II,297365,Thomas Verheydt,Centre-Forward,24/01/1992 (34),€125k
Zulte Waregem,738492,Jevon Simons,Right Winger,31/07/2005 (20),€300k
Zulte Waregem,1153876,Hemsley Akpa-Chukwu,Centre-Forward,14/07/2005 (21),€400k
