region,liga,temporada,equipo_local,equipo_visitante,resultado,local_jugador_1,visitante_jugador_1,local_jugador_2,visitante_jugador_2,local_jugador_3,visitante_jugador_3,local_jugador_4,visitante_jugador_4,local_jugador_5,visitante_jugador_5,local_jugador_6,visitante_jugador_6,local_jugador_7,visitante_jugador_7,local_jugador_8,visitante_jugador_8,local_jugador_9,visitante_jugador_9,local_jugador_10,visitante_jugador_10,local_jugador_11,visitante_jugador_11
Internacional,Champions League,2025,Atalanta de Bérgamo,Club Brujas KV,"2:1
(0:1)",Carnesecchi,Jackers,Djimsiti,Ordóñez,Kossounou,Mechele,Ahanor,Seys,de Roon,Sabbe,Pašalić,Stanković,Éderson,Vanaken,Bellanova,Sandra,Bernasconi,Tzolis,Lookman,Forbs,Krstović,Tresoldi
Internacional,Champions League,2025,Kairat Almaty,Real Madrid CF,"0:5
(0:1)",Kalmurza,Courtois,Sorokin,Alaba,Martynovich,Huijsen,Mata,Asencio,Mrynskiy,García,Tapalov,Tchouaméni,Arad,Ceballos,Kasabulat,Güler,Gromyko,Vinicius J.,Satpaev,Mastantuono,Jorginho,Mbappé
Internacional,Champions League,2025,Inter de Milán,SK Slavia Praga,"3:0
(2:0)",Sommer,Stanek,Acerbi,Vlcek,Bastoni,Zima,Bisseck,Chaloupek,Dimarco,Hashioka,Dumfries,Oscar,Çalhanoğlu,Sadílek,Sučić,Zafeiris,Zielinski,Doudera,Martínez,Kusej,Thuram,Provod
Internacional,Champions League,2025,Chelsea FC,SL Benfica,"1:0
(1:0)",Sánchez,Trubin,Chalobah,Silva,Badiashile,Otamendi,Cucurella,Dahl,Gusto,Dedić,Caicedo,Barrenechea,Fernández,Ríos,Buonanotte,Aursnes,George,Sudakov,Garnacho,Lukébakio,Neto,Pavlidis
Internacional,Champions League,2025,Atlético de Madrid,Eintracht Fráncfort​​,"5:1
(3:0)",Oblak,Santos,Lenglet,Koch,Le Normand,Theate,Ruggeri,Collins,Llorente,Brown,Gallagher,Skhiri,Barrios,Uzun,Simeone,Chaïbi,Griezmann,Knauff,Raspadori,Doan,Alvarez,Burkardt
Internacional,Champions League,2025,FK Bodø/Glimt,Tottenham Hotspur,"2:2
(0:0)",Haikin,Vicario,Aleesami,Danso,Bjørtuft,van de Ven,Bjørkan,Spence,Sjøvold,Porro,Berg,Bentancur,Auklend,Sarr,Evjen,Bergvall,Fet,Odobert,Hauge,Johnson,Høgh,Richarlison
Internacional,Champions League,2025,Olympique de Marsella,Ajax de Ámsterdam,"4:0
(3:0)",Rulli,Jaros,Aguerd,Baas,Medina,Itakura,Pavard,Wijndal,Emerson,Rosa,Vermeeren,Regeer,O'Riley,Klaassen,Nadir,Taylor,Paixão,Gloukh,Greenwood,Godts,Aubameyang,Berghuis
Internacional,Champions League,2025,Galatasaray,Liverpool FC,"1:0
(1:0)",Çakır,Alisson,Sánchez,Konaté,Bardakcı,van Dijk,Singo,Kerkez,Jakobs,Frimpong,Torreira,Gravenberch,Lemina,Jones,Gündoğan,Wirtz,Yılmaz,Szoboszlai,Akgün,Gakpo,Osimhen,Ekitiké
Internacional,Champions League,2025,Pafos FC,Bayern Múnich,"1:5
(1:4)",Michail,Neuer,Goldar,Kim,Luckassen,Upamecano,David Luiz,Guerreiro,Pileas,Laimer,Šunjić,Kimmich,Pêpê,Pavlovic,Dragomir,Díaz,Orsic,Olise,Jajá,Kane,Anderson S.,Jackson
Internacional,Champions League,2025,Union Saint-Gilloise,Newcastle United,"0:4
(0:2)",Scherpen,Pope,Burgess,Botman,Leysen,Thiaw,Mac Allister,Burn,Van De Perre,Trippier,Zorgane,Tonali,Khalaili,Joelinton,Niang,Guimarães,Ait El Hadj,Gordon,David,Elanga,Rodríguez,Woltemade
Internacional,Champions League,2025,Qarabağ FK,FC Copenhague,"2:0
(1:0)",Kochalski,Kotarski,Mustafazada,Hatzidiakos,Medina,Gabriel Pe.,Cafarquliyev,López,Matheus Si.,Huescas,Bicalho,Lerager,Borges,Delaney,Zoubir,Robert,Leandro An.,Larsson,Kashchuk,Elyounoussi,Durán,Moukoko
Internacional,Champions League,2025,Borussia Dortmund,Athletic Club,"4:1
(1:0)",Kobel,Simón,Anton,Paredes,Süle,Vivian,Bensebaini,Lekue,Svensson,Gorosabel,Ryerson,Rego,Sabitzer,Jauregizar,Bellingham,Gómez,Chukwuemeka,Navarro,Adeyemi,Williams,Guirassy,Sannadi
Internacional,Champions League,2025,FC Barcelona,París Saint-Germain FC,"1:2
(1:1)",Szczesny,Chevalier,García,Zabarnyi,Cubarsí,Pacho,Martín,Mendes,Koundé,Hakimi,de Jong,Vitinha,Pedri,Zaïre-Emery,Olmo,Ruiz,Rashford,Mayulu,Lamine Yamal,Barcola,Torres,Mbaye
Internacional,Champions League,2025,Arsenal FC,Olympiacos El Pireo,"2:0
(1:0)",Raya,Tzolakis,Saliba,Pirola,Gabriel,Retsos,White,Ortega,Zubimendi,Costinha,Merino,Hezze,Lewis-Skelly,García,Ødegaard,Chiquinho,Trossard,Podence,Martinelli,Martins,Gyökeres,El Kaabi
Internacional,Champions League,2025,Bayer 04 Leverkusen,PSV Eindhoven,"1:1
(0:0)",Flekken,Kovar,Quansah,Obispo,Tapsoba,Gasiorowski,Badé,Salah-Eddine,Tape,Mauro Júnior,Grimaldo,Schouten,Fernández,Veerman,García,Til,Tillman,Saibari,Poku,Perišić,Kofane,Man
Internacional,Champions League,2025,Villarreal CF,Juventus de Turín,"2:2
(1:0)",Tenas,Perin,Veiga,Kelly,Marín,Kalulu,Pedraza,Gatti,Mouriño,Cambiaso,Gueye,Cabal,Comesaña,Koopmeiners,Parejo,Locatelli,Pépé,McKennie,Buchanan,Yıldız,Mikautadze,David
Internacional,Champions League,2025,SSC Nápoles,Sporting de Lisboa,"2:1
(1:0)",Milinković.,Silva,Beukema,Inácio,Juan Jesus,Quaresma,Gutiérrez,Araújo,Spinazzola,Fresneda,Lobotka,Hjulmand,Anguissa,Simões,McTominay,Trincão,De Bruyne,Catamo,Politano,Quenda,Højlund,Ioannidis
Internacional,Champions League,2025,AS Mónaco,Manchester City,"2:2
(1:2)",Köhn,Donnarumma,Salisu,Dias,Dier,Gvardiol,Kehrer,Stones,Teze,O'Reilly,Vanderson,Rodri,Coulibaly,Reijnders,Diatta,Foden,Fati,Silva,Akliouche,Doku,Balogun,Haaland
Internacional,Champions League,2025,FC Barcelona,Olympiacos El Pireo,"6:1
(2:0)",Szczesny,Tzolakis,García,Pirola,Cubarsí,Retsos,Balde,Ortega,Koundé,Costinha,Casadó,Hezze,Pedri,García,López,Chiquinho,Fernández,Podence,Rashford,Martins,Lamine Yamal,El Kaabi
Internacional,Champions League,2025,Kairat Almaty,Pafos FC,"0:0
(0:0)",Anarbekov,Michail,Sorokin,David Luiz,Martynovich,Luckassen,Mata,Pileas,Mrynskiy,Bruno,Tapalov,Šunjić,Glazer,Pêpê,Arad,Quina,Gromyko,Dragomir,Satpaev,Orsic,Jorginho,Correia
