feature,importance
elo_away_win_prob,0.0526329154073224
elo_home_win_prob,0.0474763567135905
elo_diff,0.0462464367790579
market_value_diff,0.0372712753034631
value_per_elo,0.0352906227827734
elo_market_interaction,0.0231872247914467
caps_diff,0.0231123491946559
DEF_value_diff,0.0226549644941094
home_avg_player_value,0.0215090188260291
caps_per_elo,0.021446487385373
elo_caps_interaction,0.0213110215945291
away_avg_player_value,0.0203880842797372
away_team_market_value,0.0189238290543894
MID_value_diff,0.0183553476204585
elo_draw_proxy,0.0169935459202266
home_team_market_value,0.0167152455652702
elo_favorite_strength,0.0167085480540197
int_goals_diff,0.0166359521454301
abs_elo_diff,0.0160797538734567
home_avg_caps,0.0155552025129655
ATT_value_diff,0.0145876649291887
away_DEF_market_value_sum,0.0143153785590931
away_avg_caps,0.0142932930588619
abs_market_value_diff,0.0141287034723341
home_avg_age,0.0140000762782469
age_diff,0.01385336866529
home_avg_int_goals,0.0134565237706564
abs_age_diff,0.0131693913774818
away_avg_age,0.0128571735212854
away_avg_height,0.0126815973957594
GK_value_diff,0.0122579516191042
home_MID_market_value_sum,0.0121117319607687
abs_DEF_value_diff,0.0120830903430045
abs_caps_diff,0.0120516220850325
home_DEF_market_value_sum,0.0120302524274995
height_diff,0.0120120342946156
caps_goals_interaction,0.0119148874820452
abs_MID_value_diff,0.0118734007070917
away_MID_market_value_sum,0.0117206467676437
attack_strength_interaction,0.0116356767079888
home_avg_height,0.0116288561542226
away_ATT_market_value_sum,0.0113633526038694
abs_int_goals_diff,0.0110589371270197
home_ATT_market_value_sum,0.0110342529137866
abs_ATT_value_diff,0.0107566448420146
away_avg_int_goals,0.0104311953719373
abs_GK_value_diff,0.0101299232470834
home_GK_market_value_sum,0.0079084661829932
gd_diff,0.0074626811032028
home_gd_last5,0.0072770034047375
away_gf_last5,0.0072405874684054
away_GK_market_value_sum,0.0072094941610927
away_gd_last5,0.0067818156703974
home_gf_last5,0.0067243961291508
abs_gd_diff,0.0063386486228407
away_ga_last5,0.0061332938947097
points_diff,0.0060373502279405
home_ga_last5,0.0059790758916185
home_points_last5,0.0059265997590319
away_points_last5,0.0057787619161863
home_players_found,0.005207043803442
home_profile_players_found,0.0051355404892333
abs_points_diff,0.0050804536964155
away_profile_players_found,0.004667987995552
away_players_found,0.0043713155084965
away_DEF_players,0.0038903075896482
win_rate_diff,0.0037701845856404
home_win_rate_last5,0.0036466000022919
home_DEF_players,0.0034444208429467
home_MID_players,0.0033756007297057
away_win_rate_last5,0.0031445199075011
away_MID_players,0.0031210054747154
balance_score,0.0029902075767925
away_ATT_players,0.0027069979254906
home_ATT_players,0.0025217796133258
draw_candidate_score,0.0024143521225811
home_GK_players,0.0015632506147219
away_GK_players,0.0014056941331881
market_balanced,0.0013329319656307
elo_draw_zone,0.0013133269951093
elo_balanced,0.0011952782088123
age_balanced,0.001180702299181
market_draw_zone,0.0009501169814012
experience_draw_zone,0.000946478902356
high_balance_match,0.0009374603239884
caps_balanced,0.0006528409698442
ultra_balanced_match,0.0003036163284459
